Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
World,46210349,318077,1197805,4565,33400770,11611774,83923,5928,153.7,,,
USA,9349111,32814,235549,390,6036321,3077241,17144,28190,710,143220838,431846,331648064
India,8179250,43084,122099,418,7484337,572814,8944,5908,88,108796064,78582,1384493422
Brazil,5519528,,159562,,4966264,393702,8318,25906,749,21900000,102787,213061062
Russia,1618116,18140,27990,334,1215414,374712,2300,11086,192,60400000,413825,145955407
France,1331984,,36565,,116533,1178886,3377,20391,560,15836818,242443,65321753
Spain,1264517,,35878,,N/A,N/A,2482,27042,767,16690076,356924,46760840
Argentina,1157179,,30792,,961101,165286,4981,25526,679,2980105,65738,45333107
Colombia,1063151,,31135,,959433,72583,2283,20821,610,4992137,97766,51062142
UK,1011660,21915,46555,326,N/A,N/A,978,14876,685,33470217,492175,68004678
Mexico,918811,6000,91289,516,673457,154065,2838,7102,706,2386284,18444,129380561
Peru,900180,,34411,,822316,43453,1055,27177,1039,4489872,135551,33123015
South Africa,723682,,19230,,653052,51400,546,12151,323,4800823,80611,59555214
Italy,679430,31758,38618,297,289426,351386,1843,11243,639,15784461,261194,60432001
Iran,612772,7820,34864,386,481930,95978,5185,7265,413,4929005,58437,84347290
Germany,523408,5688,10555,32,345700,167153,1944,6240,126,21882967,260905,83873315
Chile,510256,1685,14207,49,486642,9407,756,26617,741,4308761,224759,19170579
Iraq,472630,1997,10910,48,399655,62065,452,11665,269,2862007,70639,40516151
Belgium,412314,20056,11452,144,24906,375956,1105,35525,987,4898435,422045,11606426
Indonesia,410088,3143,13869,87,337801,58418,,1494,51,4517739,16459,274479674
Bangladesh,407684,1320,5923,18,324145,77616,,2467,36,2336262,14139,165232159
Ukraine,387481,8752,7196,155,158928,221357,177,8878,165,3176397,72778,43645160
Philippines,380729,1803,7221,36,331046,42462,1483,3459,66,4784960,43475,110061476
Turkey,375367,2213,10252,75,323971,41144,2075,4435,121,14001814,165430,84638978
Poland,362731,21897,5631,280,140280,216820,1305,9588,149,4713403,124585,37832712
Netherlands,351178,9804,7395,50,N/A,N/A,584,20480,431,3327701,194063,17147535
Saudi Arabia,347282,402,5402,19,333842,8038,776,9925,154,8052694,230130,34991919
Pakistan,332993,807,6806,11,314066,12121,669,1498,31,4431225,19934,222293606
Czechia,330445,6772,3197,119,137950,189298,1068,30838,298,2288854,213600,10715620
Israel,314367,666,2523,9,301158,10686,419,34179,274,4614569,501715,9197590
Romania,241339,5753,6968,101,172513,61858,923,12573,363,3242748,168943,19194382
Canada,234084,2085,10134,24,195721,28229,228,6184,268,9753158,257667,37851790
Morocco,219084,3790,3695,70,181275,34114,814,5912,100,3326650,89776,37054935
Nepal,170743,2508,937,17,131222,38584,,5826,32,1443343,49247,29308350
Ecuador,167147,,12632,,141759,12756,336,9427,712,541502,30540,17731079
Switzerland,154251,,2286,6,65200,86765,237,17780,263,1933386,222853,8675630
Bolivia,141631,147,8715,10,111178,21738,71,12079,743,333282,28424,11725445
Portugal,141279,4007,2507,39,80280,58492,286,13869,246,3361537,329992,10186719
Panama,132867,,2688,,109369,20810,111,30635,620,662367,152722,4337067
UAE,132629,1121,495,5,128902,3232,,13357,50,13184160,1327733,9929825
Qatar,132556,213,232,,129583,2741,36,47210,83,975530,347435,2807805
Dominican Republic,127018,686,2245,9,104862,19911,177,11670,206,594704,54641,10883893
Kuwait,125926,589,779,6,116862,8285,110,29344,182,916525,213576,4291333
Sweden,124355,,5938,,N/A,N/A,59,12288,587,2242469,221584,10120195
Oman,114434,,1208,,103060,10166,185,22226,235,376700,73164,5148705
Kazakhstan,111953,461,1825,,106310,3818,221,5939,97,3309626,175569,18850814
Costa Rica,108866,,1371,,66202,41293,186,21306,268,308063,60292,5109523
Egypt,107376,,6258,,99353,1765,41,1043,61,135000,1311,102965454
Guatemala,107339,,3714,,96752,6873,5,5955,206,430041,23859,18023974
Austria,104925,5349,1109,27,67226,36590,265,11628,123,2232735,247436,9023489
Japan,100392,770,1755,11,92475,6162,161,795,14,2706168,21419,126346336
Belarus,98482,983,980,3,86663,10839,,10423,104,2495602,264133,9448282
Honduras,96888,738,2669,8,40129,54090,23,9731,268,227440,22844,9956316
